,index,position,company_name,description,requirement,preferred,like
10,1303,모바일 앱 개발자 (Flutter),에스케이디앤디(SK D&D),에피소드 주거 공간에서 생활 경험을 온라인으로 연결하는 플랫폼 서비스 앱 개발 업무 • Flutter 앱 개발 및 서비스 고도화 • 생산성  안정성 및 퍼포먼스 향상을 위한 모니터링  라이브러리 관리  모듈화 등의 활동 • 유저 사용성 개선을 위해 유관 부서와 협업 • 에피소드 서비스의 신규 기능 개발,• Flutter 앱 개발 및 배포 경험 (2년 이상 혹은 그에 상응하는 경험) • 끈기 있는 디버깅  문제 해결 능력 • 끊임 없는 개발 지식 탐구,• 프롭테크 서비스 개발 경험 • O2O  IoT 서비스 연동 개발 경험 • 컴퓨터 공학 관련 전공 혹은 컴퓨터 과학에 대한 기반 지식이 있으신 분 • Custom UI Component 개발 경험 • Android or iOS Native 앱 개발 및 배포 경험 • 테스트 코드 작성 경험이 있고  안정성 확보를 위해 노력한 경험이 있으신 분,24
11,1306,웹/모바일 자사 솔루션 퍼블리셔,디더블유아이,ㆍ자사 보유 솔루션 개발/유지보수 퍼블리싱 ( UI/UX 개선 ) ㆍ자사 솔루션 기반의 구축 프로젝트 등 퍼블리싱,ㆍ경력 : 경력 2년 이상 ㆍHTML  CCS  javascript  jquery 활용 가능하신 분 ㆍ앱  웹(모바일  반응형 포함) 퍼블리싱 가능하신 분 ㆍ웹 표준에 대한 이해도가 있는 분 ㆍ포트폴리오 제출 필수,ㆍUX/UI에 대한 이해가 있고  개발 파트와 협업 경험이 있으신 분 ㆍ웹 접근성에 대한 이해도가 있으신 분 ㆍ크로스부라우징 퍼블리싱 작업 가능하신 분 ㆍ디자인도구(포토샵  일러스트레이터 등) 기본 활용 가능한 분,5
12,1308,Android 모바일 앱 개발자,밀리의서재,• 밀리의 서재 Android 앱을 개발합니다.      - 오디오북  오디오드라마 등의 멀티미디어 뷰어 개발      - EPub  PDF 뷰어 개발      - 서재 관리 비즈니스 로직 개발      - 최적의 아키텍처 제안  주도,• 최소 5년 이상의 Android 또는 iOS 모바일 앱 개발 경력이 필요해요.  • MVI  MVP  MVVM 설계 경험이 있어야 해요.  • 다양한 이해관계자(기획자  디자이너 등)와 유연하게 소통할 수 있어야 해요.  • 뛰어난 문제 해결 능력으로 이슈 사항을 끝까지 마무리하는 역량이 필요해요.,• 1년 이상의 10만 이상 다운로드 앱 개발 경력을 우대해요.  • 미디어 서비스 및 exoplayer  Multi DRM 등 개발 경험을 우대해요.  • 타 플랫폼(iOS  web  flutter등)의 프로젝트 경험을 우대해요 • Android auto 및 watch OS 개발 경험을 우대해요.  • CI/CD 등 자동화 개발환경에 대한 이해도를 우대합니다. • Git-flow 운영 경험을 우대해요.  • Jira  Cofluence  Slack 등 협업툴에 대한 높은 이해도를 우대해요.    제출 서류 • 경력기술서가 포함된 이력서는 필수 제출 사항이며 포트폴리오는 선택 사항입니다. • 제출시 희망연봉 기재 및 PDF 형식을 권장합니다.  전형 과정 • 서류 전형 - 1차 면접(직무) - 2차 면접(임원) - 처우 협의 - 최종 합격 • 면접 진행을 위해 간단한 사전 과제를 요청드릴 수 있습니다.,2
13,1310,Flutter 모바일 개발자,브레이크앤컴퍼니,- 신규서비스의 모바일 개발(Android & iOS Flutter 프레임워크) - PM  디자이너 등 다양한 직군과 협업하여 서비스 설계 - CI/CD 관리 및 배포,- 앱 개발  운영을 경험한 실무 2년 이상 또는 이에 준하는 역량을 보유하신 분 - Flutter로 앱 개발 및 상용화 경험이 있으신 분 - 위의 조건이 안되더라도 Flutter 기반 앱 개발자로의 전환에 의지가 있으신 분 - 성장을 위해 도전하고 이에 즐거움을 느끼는 분 - 비효율적인 것을 싫어하고 이를 개선해나가고 싶은 분 - 자기 주도적으로 동기부여 가능하며  항상 배우려고 노력하는 분 - 스스로 목표설정하고 주도적인 업무진행이 가능한 분,- iOS 또는 Android Native 앱 개발 경험이 있으신 분 - Provider/Bloc/Riverpod 등 상태관리 패턴을 사용해본 경험이 있으신 분 - Fastlane 등 CI/CD를 직/간접 구축한 경험이 있는 분 - 다양한 이해관계자와의 원만한 커뮤니케이션을 통해 요구사항을 이해하고 정리할 수 있는 분,1
14,1311,모바일 앱 개발자 (모바일FO),지에스리테일(GS리테일),우리동네GS Mobile App • Cross Platform인 Flutter 기반 Native App 개발 및 운영 • iOS&Android Native 연동 및 최적화 작업 진행 • React JS 기반 모바일 웹 페이지 개발 및 운영 • UI&UX 개선을 위한 기획 및 디자인과의 협업,• 학력 : 4년제 대학 졸업 이상 • 경력 : 2년 이상,• Flutter 기반 개발에 대한 이해 및 경험이 있으신 분 • 다양한 언어 및 개발 환경에 대해 개방적 학습 태도를 지니신 분 • React 등 SPA 프레임워크 환경에서의 개발 경험이 있으신 분 • 긍정적이고 협업이 원활하신 분 • 영어 능통하신 분,4
15,1312,모바일 UI/UX 디자이너,삼신,• 삼신의 앱 서비스인 하모니랩을 처음 이용하는 고객이 고민없이 서비스를 이용 할 수 있도록 앱 내 경험을 디자인하고 개선 • 고객의 반응 및 피드백을 바탕으로 하여 앱 UI/UX를 개선 • 커뮤니케이션을 통한 앱 기획,• 삼신의 미션과 비전  중심 가치에 깊이 공감하시는분 • 디자인 관련 전공 혹은 근무 경력 • 원할한 커뮤니케이션이 가능하신 분 • 정량  정성적 데이터에 근거하여 해석하여 설계하실 수 있는 분,• 모바일 서비스의 프로덕트 디자인 경험 있으신 분 • 디자인 시스템을 제작 및 관리 개선하며 서비스를 고도화 한 경험이 있으신 분 • Figma  Adobe  Protopie 툴을 능숙하게 다룰 수 있으신 분 • 의료  보건 산업쪽에 근무 경험이 있으신 분 • 스타트업 근무 경험이 있으신 분,4
16,1315,모바일 앱  웹 UX 디자이너,서플럭스,• 모바일 앱 디자인,• Adobe Photoshop • Figma,• 스스로 업무를 관리 할수있는 분,0
17,1316,[FC모바일] 게임 사업 PM (1년 이상),넥슨코리아(NEXON),- 트래픽/리텐션 확보를 위한 사업활동 기획 및 실행 - 인게임/웹 이벤트 보상량 기획 및 협업을 통한 실행 - 결과 데이터 분석 기반의 사업 지표 관리 및 개선 방향 도출,- 1년 이상의 게임 또는 디지털/온라인 서비스 경력을 보유하신 분 (게임 및 서비스 장르 무관  MMORPG/이커머스 등) - PvP 또는 RPG 게임 플레이 경험이 풍부하신 분 - 가설 기반의 데이터 분석 및 인사이트 도출 능력을 보유하신 분,- MS Office (Excel  Power Point) 활용 능력 및 경험이 풍부하신 분 - SQL 활용한 데이터 분석 경험을 보유하신 분 - 영어 이메일 커뮤니케이션이 가능하신 분 (중급 수준),3
18,1317,[100억↑투자] 다이어트 앱(린다이어트) 모바일 및 Flutter 개발자,인티그레이션(메디스트림),• 린다이어트 앱   - 신규 기능 개발   - 서비스 운영 및 유지보수,• Dart 프로그래밍 • Flutter 개발 경험 1년 이상 • Android or IOS 개발 경력 3년 이상 • Riverpod  Provider  GetX 등 상태 관리 라이브러리 경험 있으신 분 • 영문 개발 문서 독해력,• 코드 최적화에 대해 끊임없이 고민하시는 분 • Onion 아키텍처에 대한 이해도가 있으신 분 • 테스트 코드 적용 경험 있으신 분 (Golden Test 등) • 빌드  테스트  배포 자동화 경험이 있으신 분 • 웹뷰 (WebView) 환경 대응 경험이 있으신 분 • Flutter 상용 서비스 출시 및 운영 경험 있으신 분 • 라이브러리  플러그인  SDK 등의 패키지 개발 경험이 있으신 분 • 디자인 시스템 개발 경험 있으신 분    [적응을 잘하신 분들의 공통점] • 하면 된다는 자세 • 자율과 책임에 대한 기준을 잘 알고 있는 분 • 투명한 커뮤니케이션 지향하는 분 • 대화 방식이 문제 해결에 집중하는 분 • 팀 공동체 성장 중심적 사고를 하시는 분 • 분야를 가리지 않고 다양한 직군과 커뮤니케이션 편안하게 하시는 분 • 내부 고객에 대한 어려움을 공감하고 본인이 가진 기술로 해결하는데 뿌듯함을 느끼는 분 • 고객 VoC 에 민감하게 반응하는 분,5
19,1318,모바일 프로덕트 UX/UI 디자이너 (3년 이상),에임(AIM),고객의 제품 경험을 디자인합니다  비즈니스와 고객을 이해하고 고객의 니즈를 분석하여 최고의 고객 경험을 제공하기 위한 해결책을 제시하고 실행합니다.  • AIM Product 개선 아이디어 제안 및 실행  • AIM Product UX 설계 및 Prototyping  • AIM Mobile APP UI 디자인  • 에임의 프로덕트와 디자인 철학을 이해하고  주도적으로 개선점을 제안 • 정성/정량적 리서치와 반복적인 가설 검증을 통해 최적화된 UX 제공,• 비즈니스와 고객을 이해하고 종합적으로 문제 해결을 할수 있는 분 • 주도적으로 서비스 개발 및 개선을 위한 아이디어와 피드백을 제공하고 이를 디자인에 반영하고 발전시킬수 있는 분  • 정성적/정량적 데이터에 기반한 논리적 사고를 하는 분  • 다양한 이해관계자/직군과 커뮤니케이션하고 협업한 경험이 있으신 분  • Figma  Photoshop  Illustrator  Zeplin 등 디자인 및 프로토타이핑 툴 숙련자   * 포트폴리오 제출 유의사항 - 프로젝트 별 본인 참여율 기재 - 본인의 핵심역량이 드러나는 내용 위주로 작성 - PDF 첨부  URL 등 형식 무관,• 빠르게 성장하는 스타트업의 One-Team 조직 문화 내에서 커리어 성장을 경험한 분 • 사용자 관점의 문제 해결을 위한 디자인 경험이 있으신 분 • 모바일 프로덕트 (앱) 기획  개발  운영 과정  리뉴얼 등 프로덕트 Lifecycle 전반에서 경험이 있으신 분 • 적극적인 의사소통을 통해 주도적으로 문제를 해결하시는 분 • 데이터 분석  UX 리서치  시장 조사 등을 통해 문제를 발견하고 서비스를 개선한 경험이 있으신 분,1
20,1319,모바일 앱 소프트웨어 개발 (Flutter / iOS / Android),블록체인랩스,- Flutter를 이용한 크로스 플랫폼 앱 개발 - iOS 또는 Android의 Native Flutter Plugin 개발 - 블록체인 트랜잭션을 위한 클라이언트 라이브러리 활용 및 개발 - Crash monitoring을 통한 버그 수정 및 품질 개선 작업,- 3년 이상 모바일 플랫폼(iOS 또는 Android)과 관련된 경력을 보유하신 분 - Flutter 학습 및 개발을 이끌 수 있는 역량을 보유하신 분(Flutter 개발 경험은 필수 아님) - Restful API/WebSocket 등의 네트워크에 대한 전반적인 지식이 있으신 분 - 프로덕션으로 출시한 서비스에 10만 명 이상의 유저를 확보한 경험이 있으신 분 - 프로덕트 개발 로드맵을 만들고 이를 책임감 있게 수행할 수 있으신 분 - 신규 서비스를 위한 기획/개발/운영/커뮤니케이션에 적극적으로 임할 수 있으신 분,- 백엔드 개발 경험이 있으신 분 - Rx기반의 프로그래밍에 익숙하신 분 - React Native 등의 크로스 플랫폼 개발 경험이 있으신 분 - Unity를 이용한 3D 효과 구현 경험이 있으신 분 - 다양한 애니메이션이나 그래픽 효과 등의 UI Intensive한 어플리케이션 제작 경험이 있으신 분 - 블록체인의 기본 원리 및 Cryptography/PKI에 대한 이해도가 높으신 분 - Open Source 프로젝트 참여 경험이 있으신 분 - 테스트 코드 작성 및 지속적 통합 프로세스(CI/CD) 경험이 있으신 분,23
21,1320,웹/모바일 솔루션 개발 및 운영,디더블유아이,• 언어 : JAVA  안드로이드  Object-C  swift  파이썬(우대) • DB   : Mssql  Cubrid (우대). Oracle (우대) • 서버 : 윈도우/리눅스 서버 • 솔루션 관련 신규 프로젝트 개발 및 운영,• 경력자는 해당 경력 2년 ~ 5년 사이 • 고객관리 업무 필요  커뮤니케이션에 능하고 창의성  통찰력 보유자 • 팀워크  커뮤니케이션 우수자  조직과 융화가 원활한 분 • 웹/모바일 기반 서비스와 그 구조에 대한 기본적인 이해도가 있으신 분 • 신규 기술에 관심이 많고   업무에 맞춰 적용가능하신 분 • 리더십이 있고 오래 함께 일할 수 있는 분 • 긍정적인 마인드 보유자,• 데이터베이스 쿼리성능 개선 가능자 • 코드 및 서비스 성능 향상에 관심이 많은 분 • 프리젠테이션 스킬 우수자 • 제안서 관련 업무 경험자,10
22,1321,플랫폼전략 모바일 iOS App개발,코콤,플랫폼전략 모바일 iOS App개발 -정규직(수습기간3개월) -급여조건: 연봉 협의 후 결정  1) 필수 항목 - 3년 이상의 Swift 기반 앱 개발 경력이 있거나 그에 준하는 실력을 갖추신 분 - REST API  Socket을 이용한 서버와 통신 - App Store 앱 런칭경험 - MVP/MVVM 등 UI 아키텍쳐에 대한 지식 보유와 경험자 - Firebase를 통한 비즈니스 협업 가능자  2) 우대 항목 - Git  Jenkins 사용 경험이 있으신 분 - 코드 리뷰 및 리팩토링 경험자 - 긍정적이고 원활한 커뮤니케이션 능력을 가지신 분    서류전형 ＞ 면접진행 ＞ 최종심사 ＞ 최종합격,• 초대졸 이상 • 경력(3년이상),•  정보처리기사,0
23,1322,모바일 앱 S/W 개발,인텔리안테크놀로지스,•  Mobile App Development for Antenna Monitoring & Control   - Android  iOS 기반의 Mobile App 개발   - Antenna M&C 위주의 Mobile S/W 개발,• Language : Flutter (우대) / ReatNative  Xamarine 등 Cross-Platform (Hybrid App)용 언어 선호 • 시스템 연동 개발 • RESTful API 기반의 다양한 Device  Server 연동 • 기타 연동 Protocol 활용 개발 (JWT  OIDC  Web Socket 등) • DB : MySQL  SQLite  PostgreSQL 등 RDBMS / NoSQL 개발 경험자 • Git  JIRA  CI/CD 툴 등 개발 환경 경험자 • 문제 해결에 진취적이고 적극적인 자,• 영어 소통 가능자 • Native App 개발 경험자 (JAVA  Kotlin  Swift 등) • AWS  Azure 등 Cloud Service 개발 유 경험자,3
24,1323,모바일/온라인 게임 마케팅,이스트게임즈,• 다양한 온/오프라인 매체 집행을 통한 광고 효과 분석 • 게임 마케팅 업무 전반 • 게임 광고 기획 및 제작,• 마케팅 및 광고 관련 경력자(경력) • 게임 산업에 대한 이해도가 있으신 분 • 원활한 커뮤니케이션 능력이 있으신 분,• 게임 런칭 경험자 • 모바일 앱 Attribution Tool (Appsflyer  Singular  Adjust 등) 활용 경험자 • 게임 마케팅 및 광고 경력자 • 광고 대행사 경력자 • 광고 관련 전공자 • 퍼포먼스 캠페인 경험자 • 디지털 채널에 대한 경험과 이해가 있는 분,16
25,1324,주차정산 앱 기능 개발 및 모바일 앱 개발 (Android),플러스파크,• 주차정산기 앱 기능 개발 및 유지보수 • 모바일 앱 기능 개발 및 유지보수 • 경력 : 신입 or 경력 (5년 이하),• 학력 : 무관 • 나이/성별 : 무관,• Custom UI  Custom Animation 개발 경험이 있으신 분 • Unit/UI Test 작성 경험이 있으신 분 • Serial  TCP / IP Socket 통신에 대한 이해도가 높은 분,0
26,1325,모바일 프로덕트 디자이너,오렌지풋볼네트워크,• 앱 UI/UX 디자인 • 인터페이스 및 사용자 경험을 위한 기획 및 설계 • 사용자 경험 문제점을 파악하고 사용성 개선 제안 및 기획,• Mobile/Web 서비스 디자인 경험이 있으신 분 • 사용자의 입장에서 서비스 및 프로덕트를 이해하고 디자인 할 수 있는 능력이 있으신 분 • 기획자  개발자와의 협업시 적극적인 커뮤니케이션 태도를 갖추신 분,우대사항 • 모바일 환경에서 UI/UX 디자인 설계 및 협업 개발 경험이 있으신 분 • 유연하고 적극적인 커뮤니케이션 역량을 갖추신 분 • 웹/모바일 프로덕트 출시 경험을 보유하신 분,0
27,1326,모바일 UX/UI 디자이너,파마브로스,• '친한약사' 1:1 맞춤상담 플랫폼 App의 UX/UI 디자인을 설계하고 구현해요. • 건강기능식품 제품의 페이지 디자인 및 그 외 디자인 전반 업무를 진행해요.,• 커머스나 컨텐츠 앱 개발 경험 2년 이상으로 • Adobe Photoshop / Illustrator / XD / Figma 등 디자인 도구 사용에 능숙하신 분   • 기획자의 의도 및 업무성격에 맞는 디자인이 가능하신 분이면 좋겠습니다.,• 건강기능식품 등 헬스케어 사업에 관심이 많으시고 • 기획자 및 개발자와 소통/협업에 익숙하신 분들 환영합니다. • 퍼블리싱 경험이나 지식이 있으신 분들 적극 모십니다.,0
28,1327,Flutter 모바일 개발자,인피니티익스체인지코리아,• Flutter를 이용하여 iOS  Android App 개발 • 블록체인 앱서비스 플랫폼 개발 • 핀테크  테크핀 모듈 개발,• Flutter 개발 1년 이상  • Cross-Platform 개발 프레임워크에 대한 높은 관심 및 학습 능력을 지니신 분 • Restful 에 대한 이해를 가지고 계신 분 • flutter 상태관리에 대한 높은 이해도를 보유하신 분,• Native 앱 개발(Android  iOS) 경험이 있으신 분 • 앱스토어 최적화(ASO) 경험이 있으신 분 • 동료들과 커뮤니케이션하며 개발하는 과정이 즐거운 분 • 블록체인 기술에 대한 관심이 높으며 산업 성장성에 확신이 있으신 분 • 전자금융 서비스 경험자,3
29,1328,라운드픽 모바일 서비스 UI/UX 디자이너 (기획 포함),비지트,• 라운드픽 모바일 서비스 UI 디자인 업데이트 • 라운드픽 모바일 서비스 UX 기획 • 라운드픽 모바일 서비스 Admin 페이지 디자인 • 라운드픽 관련 회사소개서 디자인 작업 • 캐릭터 '라운이' 디자인 작업,• 시각디자인 관련 졸업자만 지원 가능 • 2년제  4년제 졸업자 지원 가능 • 팀원들과의 커뮤니케이션  즉 소통이 가능한 사람 • 영어 이해도가 어느 정도 가능한 사람(커뮤니케이션 or 단어에 대한 이해),• 모바일 앱  웹 관련 서비스 디자인 포트폴리오 필수 (미제출시 서류 탈락) • 기존 업무 경험 우대 • 사무실 근거리 거주자 • 영어 커뮤니케이션 가능한 사람 우대,3
30,1329,기술개발부 모바일팀[AOS 개발자],더이앤엠,• 안드로이드 개발 및 개발 지원 • 자사 서비스 관리 및 개발 지원,• REStful API를 이용한 네트워크 개발 경험이 있으신 분 • Kotlin으로 개발 가능한 분,• 상용 서비스 개발 및 운영 경험을 보유 하신 분 • 하이브리드 웹 연동 경험 있으신 분 • 모바일 UI/UX 이해가 높으신 분 • 스트리밍 서비스에 관심이 많으신 분,4
