,cleaned_words,num
1091,usage,9
1092,upgrade,9
1093,unique,9
1095,trend,9
1097,threat,9
1098,target,9
1099,talent,9
1100,stock,9
1101,stability,9
1102,stability,9
1103,squad,9
1104,speed,9
1105,source,9
1106,smooth,9
1107,simple,9
1108,shopping,9
1110,secure,9
1111,robot,9
1113,present,9
1115,practice,9
1116,portfolio,9
1119,operation,9
1120,offline,9
1123,meaningful,9
1124,manager,9
1125,mall,9
1126,learning,9
1127,innovate,9
1128,high-quality,9
1130,function,9
1131,factory,9
1132,factory,9
1133,extraction,9
1134,express,9
1135,event,9
1136,environment ],9
1137,environment,9
1138,energy,9
1140,drive,9
1143,development-,9
1144,description,9
1146,derivation,9
1147,delivery,9
1148,day,9
1149,customer,9
1150,cost,9
1152,consists,9
1153,company,9
1155,change,9
1157,board,9
1158,become,9
1159,back-office,9
1162,sw,9
1163,spa,9
1166,production,9
1167,preparation,9
1168,performance,9
1169,participation,9
1170,pm,9
1171,php,9
1172,pc,9
1176,node.js,9
1178,language,9
1179,kubernetes,9
1180,kotlin,9
1182,home,9
1184,front,9
1185,figma,9
1186,extract,9
1188,etl,9
1189,dashboard,9
1190,db,9
1192,construction,9
1193,cm,9
1196,website,8
1197,voice,8
1198,translation,8
1199,tool,8
1202,submit,8
1203,strive,8
1204,strategy,8
1206,staff,8
1208,size,8
1209,serve,8
1210,remittance,8
1211,quick,8
1212,purpose,8
1213,procedure,8
1215,prepare,8
1216,position,8
1217,poker,8
1218,point,8
1219,platform,8
1220,personnel,8
1221,performs,8
1222,partner,8
1223,order,8
1226,mobility,8
1227,methodology,8
1228,methodology,8
1229,material,8
1230,mart,8
1231,logic,8
1232,library,8
1233,leadership,8
1235,installation,8
1236,information ],8
1237,information,8
1238,in-depth,8
1240,idea,8
1241,hospital,8
1242,home,8
1243,healthcare,8
1244,guidance,8
1245,growth,8
1247,github,8
1250,experiment,8
1251,experience,8
1252,everyone,8
1253,etc.,8
1254,error,8
1255,engineer,8
1256,element,8
1257,documentation,8
1260,defect,8
1262,continue,8
1263,community,8
1264,code,8
1267,car,8
1268,business,8
1269,bring,8
1271,balance,8
1273,authentication,8
1274,asset,8
1275,application,8
1276,app,8
1277,app,8
1278,agile,8
1280,ability,8
1282,web,8
1283,tableau,8
1284,smart,8
1285,restful,8
1287,rds,8
1289,pr,8
1291,nubi,8
1292,notion,8
1293,mongodb,8
1294,manager,8
1295,mall,8
1296,maintain,8
1297,lotte,8
1299,legacy,8
1301,lm,8
1302,kafka,8
1303,jenkins,8
1306,elasticsearch,8
1307,ec,8
1308,discover,8
1309,dw,8
1312,crm,8
1313,break,8
1314,bi,8
1316,apache,8
1318,aloha,8
1322,warehouse,7
1324,value,7
1325,utilization,7
1326,usability,7
1329,type,7
1331,system,7
1332,support,7
1333,suggestion,7
1334,standard,7
1335,stack,7
1338,situation,7
1339,site,7
1340,show,7
1341,server,7
1343,schedule,7
1347,review,7
1348,require,7
1349,renewal,7
1350,release,7
1354,quantitative,7
1355,project,7
1356,produce,7
1357,price,7
1358,player,7
1359,pattern,7
1360,patient,7
1361,owner,7
1366,next-generation,7
1368,mission,7
1369,milestone,7
1370,migration,7
1371,mid-,7
1372,method,7
1373,meeting,7
1374,meeting,7
1377,look,7
1378,lead,7
1380,journey,7
1383,interview,7
1385,interface,7
1387,insight,7
1388,infrastructure,7
1390,implementation,7
1391,hybrid,7
1392,goal,7
1393,gain,7
1394,fun,7
1395,form,7
1396,food,7
1397,focus,7
1399,extension,7
1400,expert,7
1401,experimental,7
1402,experiment,7
1404,everything,7
1405,end-to-end,7
1406,end,7
1409,efficiency,7
1410,effectiveness,7
1411,ecosystem,7
1414,discussion,7
1416,discovery,7
1417,direction,7
1418,development/operation,7
1419,design/development,7
1420,definition,7
1421,decision,7
1422,database,7
1423,culture,7
1424,cost,7
1427,consistent,7
1430,client,7
1431,challenge,7
1432,case,7
1434,capability,7
1435,business,7
1436,basis,7
1437,banking,7
1439,algorithm,7
1440,action,7
1441,action,7
1443,responsibility,7
1445,world,7
1446,wavve,7
1447,ux/ui,7
1448,s3,7
1449,query,7
1450,process,7
1451,poc,7
1452,plan,7
1453,online,7
1454,o2o,7
1455,nlp,7
1456,model,7
1457,mariadb,7
1458,log,7
1459,kafka,7
1460,javascript,7
1461,javascript,7
1462,intelligence,7
1463,infrastructure,7
1464,in-house,7
1465,image,7
1466,healthcare,7
1467,frontend,7
1469,enhancement,7
1470,docker,7
1471,db,7
1472,conduct,7
1473,boot,7
1474,avery,7
1475,amazon,7
1477,api,7
1485,work,6
1486,working-level,6
1487,work,6
1490,week,6
1491,vary,6
1492,],6
1494,],6
1495,unit,6
1497,try,6
1498,traffic,6
1499,track,6
1501,text,6
1502,test,6
1503,term,6
1504,technology ],6
1505,technology,6
1506,team,6
1507,table,6
1509,system,6
1513,statement,6
1514,start,6
1515,space,6
1516,send,6
1518,scrum,6
1519,scenario,6
1520,review,6
1522,resume,6
1525,quality,6
1526,progress,6
1527,program,6
1528,productivity,6
1529,processor,6
1531,predict,6
1533,portal,6
1535,performance,6
1536,past,6
1537,party,6
1538,ownership,6
1539,organization,6
1540,order,6
1541,optimization,6
1542,opportunity,6
1543,operates,6
1544,network,6
1545,need,6
1546,need,6
1547,modeling,6
1548,mindset,6
1549,microservices,6
1550,metric,6
1551,message,6
1552,measurement,6
1553,mean,6
1554,mart,6
1555,management,6
1556,management,6
1558,making,6
1563,javascript,6
1564,inventory,6
1566,interview,6
1567,institution,6
1571,improvement,6
1572,importance,6
1573,implementation,6
1575,hour,6
1576,hour,6
1579,half,6
1580,group,6
1581,funnel,6
1582,flow,6
1583,feature,6
1584,explore,6
1585,expert,6
1587,evolve,6
1588,etc,6
1589,estimation,6
1590,driver,6
1592,],6
1594,display,6
1595,discussion,6
1597,device,6
1598,developer,6
1599,designer,6
1600,dementia,6
1601,definition,6
1605,cycle,6
1606,cross-platform,6
1608,course,6
1609,convenience,6
1610,contact,6
1611,consumer,6
1613,computer,6
1615,composition,6
1616,completeness,6
1617,competency,6
1618,company,6
1619,communication,6
1621,colleague,6
1622,collaborative,6
1623,check,6
1624,cat,6
1627,campaign,6
1628,calculate,6
1629,browser,6
1630,brokerage,6
1631,biometric,6
1633,basis,6
1634,apps,6
1636,analyzes,6
1638,account,6
1639,],6
1640,workspace,6
1642,tool,6
1644,studio,6
1645,software,6
1646,sentry,6
1647,security,6
1648,sn,6
1649,rundrigo,6
1650,reference,6
1651,real-time,6
1652,pipeline,6
1653,people,6
1654,pt,6
1657,note,6
1658,nestjs,6
1659,native,6
1660,nft,6
1661,market,6
1662,mvp,6
1663,lundrygo,6
1664,linux,6
1665,lever,6
1666,laundry,6
1667,lambda,6
1668,kyobo,6
1669,kpi,6
1670,javascript,6
1671,jpa,6
1672,java,6
1673,introduction,6
1675,integration,6
1677,improvement,6
1678,hana,6
1680,html5,6
1681,hr,6
1682,graphql,6
1683,github,6
1684,gcp,6
1687,fastapi,6
1688,fe,6
1689,event,6
1690,engineering,6
1691,employment,6
1692,elasticsearch,6
1693,efficient,6
1694,erp,6
1695,ec2,6
1696,django,6
1697,deploy,6
1698,database sql,6
1699,creatrip,6
1700,core,6
1701,contributes,6
1703,cs,6
1704,blockchain,6
1705,azure,6
1706,athena,6
1707,amplitude,6
1710,.net,6
1713,data,6
1714,product,6
1715,etl,6
1721,year,5
1722,world,5
1723,work ],5
1725,web3,5
1726,visualization,5
1727,viewer,5
1730,update,5
1733,transaction,5
1734,trading,5
1736,tool,5
1739,tell,5
1740,technology,5
1741,technology,5
1742,tech,5
1743,task,5
1744,task,5
1745,synthesis,5
1746,subscription,5
1747,style,5
1748,student,5
1749,student,5
1750,storage,5
1751,statistic,5
1752,stage,5
1753,sprint,5
1754,sport,5
1755,specification,5
1756,sound,5
1759,situation,5
1760,situation,5
1763,self-introduction,5
1764,search,5
1765,scientist,5
1766,schema,5
1767,schedule,5
1768,room,5
1769,role,5
1770,role,5
1771,robust,5
1772,risk,5
1773,review,5
1775,retention,5
1776,responsive,5
1777,resource,5
1779,reservation,5
1781,registration,5
1782,reference,5
1783,recruitment,5
1784,record,5
1785,push,5
1786,pursue,5
1787,prototype,5
1788,protocol,5
1789,proposal,5
1790,proportion,5
1791,promote,5
1794,processing,5
1796,problem,5
1797,problem-solving,5
1798,probability,5
1799,prioritize,5
1800,prefer,5
1801,predictive,5
1802,position,5
1803,policy,5
1805,perspective,5
1806,period,5
1808,payment,5
1809,part,5
1810,partnership,5
1811,partnership,5
1813,owner,5
1814,option,5
1815,opinion,5
1817,nature,5
1819,month,5
1820,medicine,5
1822,market,5
1823,manner,5
1825,loan,5
1827,living,5
1828,line,5
1830,lecture,5
1832,learns,5
1836,large-capacity,5
1837,language,5
1839,lab,5
1840,junior,5
1841,introduction ],5
1843,installment,5
1844,indicator,5
1845,indicate,5
1846,in-game,5
1847,in-app,5
1851,image,5
1852,human,5
1853,hope,5
1857,high-performance,5
1858,government,5
1859,generative,5
1862,functionality,5
1864,framework,5
1868,fix,5
1869,feel,5
1871,explain,5
1872,experimentation,5
1875,exhibition,5
1876,executive,5
1877,execution,5
1878,error,5
1881,engineer,5
1882,enables,5
1884,employment,5
1885,effort,5
1886,effect,5
1887,effect,5
1888,editor,5
1891,document,5
1892,diagnosis,5
1893,development,5
1894,detail,5
1896,depth,5
1897,deploy,5
1898,department,5
1899,delivery,5
1900,day,5
1901,dashboard,5
1902,cyber,5
1903,curriculum,5
1906,copyright,5
1907,contributes,5
1908,contract,5
1909,content,5
1911,consent,5
1913,condition,5
1916,collaboration,5
1917,collaborates,5
1918,closing,5
1919,characteristic,5
1922,center,5
1923,cause,5
1924,business,5
1925,browser,5
1926,brand,5
1927,branch,5
1928,benefit,5
1930,avoid,5
1931,availability,5
1933,automation,5
1934,automation,5
1936,audience,5
1938,architecture,5
1939,application,5
1941,analytics,5
1942,amount,5
1943,agent,5
1947,adapt,5
1948,accurate,5
1950,abnormality,5
1951,[,5
1952,[ work,5
1953,zoom,5
1955,webpack,5
1957,webrtc,5
1958,vuex,5
1959,vue.js,5
1960,vue,5
1961,video,5
1962,unity,5
1964,terraform,5
1965,tech,5
1966,team ],5
1967,system,5
1968,strategy,5
1969,step,5
1970,station,5
1971,solution,5
1972,skill,5
1973,share,5
1974,schedule,5
1975,scala,5
1976,sale,5
1977,rest,5
1978,respond,5
1979,redux,5
1980,react.js,5
1981,react,5
1983,propose,5
1984,proposal,5
1985,pro,5
1986,predict,5
1988,postgresql,5
1989,postgresql,5
1990,popcorn,5
1991,planet,5
1992,po,5
1993,pm,5
1994,pg,5
1995,pdf,5
1996,owner,5
1997,office,5
2000,north,5
2001,monitoring,5
2002,management,5
2003,machine,5
2005,linkage,5
2006,library,5
2007,let,5
2008,language,5
2009,lambda,5
2010,korean,5
2012,jira,5
2013,javascript,5
2014,j,5
2015,java,5
2016,introduction ],5
2017,hybrid,5
2018,handle,5
2019,http,5
2022,front-end,5
2023,framework,5
2025,facebook,5
2026,engineer,5
2027,ec,5
2029,devops,5
2031,configure,5
2032,configuration,5
2034,company,5
2036,client,5
2037,cx,5
2038,cto,5
2039,ci/cd,5
2040,ci,5
2041,bigquery,5
2042,base,5
2043,baedal,5
2046,android,5
2047,airflow,5
2048,aha,5
2049,advertising,5
2050,aws,5
2052,api,5
2053,>,5
2058,e.g,5
2059,spring,5
2061,nexon,5
2062,ec2,5
2063,api,5
2077,~,4
2079,worker,4
2080,welfare,4
2081,week,4
2082,webpage,4
2083,way,4
2087,uncover,4
2089,trust,4
2090,transaction,4
2092,track,4
2094,tool,4
2096,time,4
2098,thought,4
2099,thing,4
2103,team ],4
2105,task,4
2106,task,4
2108,supply,4
2109,suit,4
2110,],4
2111,submission,4
2113,study,4
2114,structure,4
2115,structure,4
2116,strives,4
2117,strategy,4
2118,statistic,4
2119,startup,4
2120,standard,4
2121,stabilization,4
2122,sprint,4
2127,skill,4
2128,situation,4
2129,side,4
2132,settlement,4
2133,set,4
2134,services.-,4
2135,services-,4
2136,server-side,4
2138,self-introduction,4
2139,segmentation,4
2140,seek,4
2141,script,4
2143,schedule,4
2144,scenario,4
2146,sale,4
2147,salary,4
2149,safety,4
2152,request,4
2153,report,4
2154,rental,4
2155,rent,4
2156,relay,4
2157,relationship,4
2160,reflection,4
2162,refine,4
2163,refer,4
2164,recommendation,4
2165,receive,4
2169,purpose,4
2170,purchase,4
2171,provide,4
2172,proven,4
2173,proud,4
2175,promise,4
2177,project,4
2178,program,4
2179,profit,4
2182,procedure,4
2183,principle,4
2184,price,4
2187,prevent,4
2188,position,4
2189,play,4
2190,platform,4
2191,plan,4
2192,pet,4
2194,performance,4
2195,people,4
2196,people,4
2197,pattern,4
2198,path,4
2199,participates,4
2200,pair,4
2201,paid,4
2204,organization,4
2205,operation,4
2206,online,4
2208,office,4
2210,notification,4
2211,notebook,4
2213,music,4
2214,motivation,4
2215,monitoring,4
2216,modularization,4
2217,minute,4
2218,minimum,4
2220,management ],4
2221,maintenance/repair,4
2222,mainnet,4
2223,mainnet,4
2224,login,4
2228,link,4
2229,learner,4
2231,language,4
2232,lake,4
2234,jquery,4
2237,involves,4
2238,interview,4
2239,interview,4
2240,interview,4
2242,interest,4
2244,integration,4
2245,insight,4
2247,innovation,4
2249,implement,4
2250,impaction,4
2251,immerse,4
2252,identification,4
2253,hesitate,4
2254,helpful,4
2255,guide,4
2258,gather,4
2259,gateway,4
2260,game,4
2261,fulfillment,4
2262,front-end,4
2263,frequent,4
2265,fraud,4
2266,framework,4
2267,foundation,4
2268,format,4
2269,],4
2271,fintech,4
2273,figure,4
2274,feasibility,4
2276,factor,4
2277,extraction,4
2278,extract,4
2279,expansion,4
2280,exchange,4
2281,equipment,4
2285,enhancement,4
2286,engineer,4
2287,employee,4
2288,employee_3,4
2289,email,4
2291,ecosystem,4
2293,domain,4
2294,diverse,4
2295,distribution,4
2296,development ],4
2297,development,4
2299,development,4
2300,detection,4
2301,detail,4
2302,desktop,4
2303,designing,4
2304,designer,4
2305,design/development/operation,4
2306,design/construction,4
2307,deployment,4
2308,demand,4
2309,demand,4
2311,degree,4
2313,decide,4
2315,debt,4
2316,database,4
2318,dashboard,4
2319,daily/weekly,4
2320,cycle,4
2324,coordination,4
2325,cooperation,4
2326,control,4
2327,contract,4
2329,construction,4
2330,consistency,4
2331,configure,4
2332,concept,4
2333,component,4
2334,complies,4
2337,comparison,4
2338,company,4
2339,community,4
2340,communicates,4
2341,commercialization,4
2342,colleague,4
2343,collaborator,4
2344,code,4
2345,clothing,4
2347,classification,4
2348,circumstance,4
2349,chat,4
2351,channel,4
2352,cat,4
2353,case,4
2354,care,4
2355,capability,4
2356,candidate,4
2357,call,4
2360,background,4
2362,backend,4
2366,attempt,4
2368,arise,4
2369,apps,4
2371,application,4
2372,applicant,4
2373,applicant,4
2374,applicant,4
2375,apartment,4
2376,anything,4
2377,analyst,4
2378,agree,4
2379,affair,4
2380,administrator,4
2382,accessibility,4
2383,access,4
2385,absorb,4
2387,[ document,4
2388,[ balaan,4
2389,zustand,4
2390,z,4
2392,workplace,4
2393,wolbu.com,4
2394,wine,4
2395,website,4
2396,webpack,4
2398,visualize,4
2399,us,4
2401,typecast,4
2402,training,4
2403,tour,4
2404,tool,4
2405,techcell,4
2406,team ],4
2407,table,4
2408,system,4
2409,storybook,4
2410,storybook,4
2412,spark,4
2414,sell,4
2415,sc,4
2416,s/w,4
2417,robot,4
2418,ridi,4
2419,resume,4
2420,responsibility,4
2421,report,4
2422,redux,4
2423,redash,4
2424,recoil,4
2425,re-architecting,4
2426,rabbitmq,4
2427,rdb,4
2428,q,4
2429,proceed,4
2432,play,4
2433,personality,4
2434,payta,4
2436,passorder,4
2437,page,4
2439,oracle,4
2440,optimization,4
2441,office,4
2443,node.js,4
2444,nest.js,4
2446,mysql,4
2447,monitoring,4
2448,mildang,4
2449,manager,4
2453,maintenance/repair,4
2455,ms-sql,4
2456,maxverse,4
2457,lookco,4
2458,lemon,4
2459,kubernetes,4
2460,korea,4
2461,kibana,4
2462,journey,4
2463,jira,4
2464,jest,4
2466,issue,4
2469,integrate,4
2470,information,4
2471,indicator,4
2472,ide,4
2474,honey,4
2475,headquarters,4
2476,hakjong,4
2477,hadoop,4
2478,hub,4
2479,gold,4
2480,golang,4
2481,gdac,4
2482,front,4
2485,fastapi,4
2486,failure,4
2487,factory,4
2488,express,4
2489,expert,4
2490,expand,4
2491,everyone,4
2494,emotion,4
2495,elasticsearch,4
2499,document,4
2501,development,4
2502,development,4
2503,desktop,4
2504,define,4
2505,dbms,4
2506,dapps,4
2508,cow,4
2509,conversational,4
2510,content,4
2511,collect,4
2512,collaborative,4
2513,collaboration,4
2514,cloudfront,4
2515,classum,4
2516,chrome,4
2517,chatty,4
2518,chapter,4
2519,centos,4
2520,cash,4
2521,c,4
2522,c-level,4
2523,c,4
2524,branch,4
2529,balan,4
2530,backoffice,4
2533,argocd,4
2534,anticipate,4
2536,announcement,4
2537,analytics,4
2539,algorithm,4
2540,airflow,4
2541,advancement,4
2542,administrator,4
2545,apis,4
2546,aia,4
2549,-linux,4
2550,membership,4
2551,collaboration,4
2552,upstore,4
2553,tableau,4
2554,react.js,4
2555,react,4
2557,fast,4
2558,aws,4
2577,year,3
2578,writing,3
2579,world,3
2580,world,3
2581,world,3
2582,workflow,3
2583,workflow,3
2584,work,3
2587,wellness,3
2588,welcome,3
2589,welcome,3
2590,washing,3
2591,warehouse,3
2592,vulnerability,3
2593,voucher,3
2594,voice,3
2596,visualize,3
2598,variable,3
2599,value,3
2600,value,3
2602,user,3
2606,upload,3
2607,update,3
2608,update,3
2610,unit,3
